ace_rank,alpha,config,mean_acc,std_acc,size_kb,ace,omega,hawq_rank,hawq_compression_ratio
1,91,INT 8-8-2-2,99.2068,0.2175,46.36,0.7721419443625283,0.0001007988175842911,16,2.74738720367066
2,91,INT 8-8-2-4,99.2158,0.222,46.56,0.771158950162194,9.773025522008538e-05,17,2.7404017289600815
3,91,INT 8-8-2-8,99.2228,0.2172,46.96,0.7691929617615256,9.762610716279596e-05,18,2.726536807487984
4,91,INT 8-8-4-2,99.2022,0.2153,91.86,0.5485107637864937,3.246123742428608e-05,19,1.7389480477573411
5,91,INT 8-8-4-4,99.2316,0.2493,92.06,0.5475277695861595,2.9392685974016786e-05,20,1.7361469072164948
6,91,INT 8-8-4-8,99.2262,0.2249,92.46,0.545561781185491,2.928852518380154e-05,21,1.7305716120745023
7,101,INT 8-8-4-2,99.206,0.2283,101.86,0.4993610537697828,-0.0003329225000925362,7,1.7385867984879326
8,91,INT 8-8-8-2,99.2072,0.2217,182.86,0.10124840263442447,2.7897425752598792e-05,22,1.0027912169705993
9,91,INT 8-8-8-4,99.2238,0.2375,183.06,0.10026540843409026,2.4828874302329496e-05,23,1.0018590816136828
10,91,INT 8-8-8-8,99.2194,0.2307,183.46,0.09829942003342185,2.472471351211425e-05,24,1.0
11,101,INT 8-8-8-2,99.203,0.2494,202.86,0.0029489826010026254,-0.0003381365677341819,8,1.0025150905432596
12,91,INT 8-4-2-2,99.1886,0.2294,46.21,-0.00011491935483879999,0.0008764343801885843,13,3.3260299336522143
13,91,INT 8-4-2-4,99.1884,0.2243,46.41,-0.00011693548387098173,0.0008733658469282091,14,3.315797569604676
14,101,INT 8-8-2-2,99.173,0.2484,51.36,-0.00027217741935484904,-0.0002523543662391603,6,2.7470709855272224
15,91,INT 8-4-2-8,99.1482,0.1779,46.81,-0.0005221774193548393,0.0008732617134228349,15,3.2955205626051063
16,101,INT 8-4-2-2,99.136,0.2334,51.21,-0.0006451612903226529,0.0004015873419120908,5,3.3258239465999164
17,101,INT 8-2-2-2,98.9418,0.4364,51.135,-0.0026028225806451833,0.01747131161391735,3,3.717416647237118
18,101,INT 4-4-2-2,98.8516,0.347,51.18,-0.0035120967741935284,0.005847598426043987,4,3.4721254355400695
19,91,INT 8-2-2-8,98.8408,0.2891,46.735,-0.0036209677419354967,0.020746154710650444,9,3.6794401297260393
20,91,INT 8-2-2-4,98.8296,0.2847,46.335,-0.003733870967741972,0.0207462590187788,8,3.704734897310303
21,81,INT 8-8-2-8,98.6832,0.3113,41.96,-0.005209677419354874,6.425029278034344e-05,18,2.7243826284416692
22,81,INT 8-8-8-8,98.6734,0.3193,163.46,-0.005308467741935503,1.425988921255339e-05,21,1.0
23,81,INT 8-8-2-2,98.672,0.3285,41.36,-0.005322580645161348,0.00024906834005378187,16,2.747781276839393
24,81,INT 8-8-4-8,98.6692,0.3448,82.46,-0.005350806451612896,1.719575811875984e-05,20,1.7299927901946648
25,81,INT 8-8-4-4,98.6624,0.3342,82.06,-0.005419354838709653,2.3424157916451804e-05,19,1.7362518089725036
26,81,INT 8-8-2-4,98.6604,0.3081,41.56,-0.00543951612903233,7.047869439702481e-05,17,2.739937196688553
27,91,INT 8-2-2-2,98.6602,0.4453,46.135,-0.005441532258064512,0.020749328657984734,7,3.7175131499525738
28,71,INT 8-8-2-2,98.659,0.4802,36.36,-0.005453629032258032,0.00027078259154222906,6,2.7482859941234086
29,81,INT 8-4-2-2,98.6582,0.3714,41.21,-0.005461693548387189,0.0005910152103751898,13,3.3262866054409983
30,81,INT 8-4-2-4,98.6494,0.3506,41.41,-0.00555040322580648,0.00041242552106268704,14,3.3147988257641168
31,71,INT 8-8-4-2,98.6316,0.4823,71.86,-0.005729838709677388,-0.000159180533955805,7,1.739975196362133
32,71,INT 8-8-8-2,98.6228,0.473,142.86,-0.005818548387096822,-0.00018595436995383352,8,1.003576537911302
33,81,INT 8-4-2-8,98.6194,0.3558,41.81,-0.005852822580645202,0.0004061971267219633,15,3.2920596810152634
34,71,INT 8-4-2-2,98.6036,0.5091,36.21,-0.006012096774193575,0.0023124059662222862,5,3.326615293420273
35,101,INT 4-2-2-2,98.558,0.5038,51.105,-0.006471774193548345,0.02291732281446457,2,3.901149987766088
36,81,INT 4-4-2-2,98.5188,0.2465,41.18,-0.006866935483871008,0.004707069136202335,10,3.4725036179450073
37,81,INT 4-4-2-8,98.4824,0.28,41.78,-0.00723387096774198,0.0045222509652376175,12,3.4352183249821047
38,91,INT 4-4-2-8,98.4462,0.4298,46.78,-0.007598790322580627,0.007452384103089571,12,3.439055520102106
39,91,INT 4-4-2-4,98.428,0.3975,46.38,-0.007782258064516185,0.007452488411217928,11,3.4611432241490045
40,81,INT 4-4-2-4,98.4078,0.3976,41.38,-0.007985887096774277,0.004528479650616646,11,3.4599855803893296
41,91,INT 4-4-2-2,98.4046,0.402,46.18,-0.008018145161290331,0.007455556653439999,10,3.4722938144329896
42,81,INT 8-2-2-4,98.3276,0.4909,41.335,-0.008794354838709667,0.008574424311518669,8,3.7032892833027877
43,81,INT 8-2-2-8,98.2628,0.4495,41.735,-0.009447580645161333,0.00856819562613964,9,3.6749306020867234
44,61,INT 8-8-2-4,98.1998,0.6479,31.56,-0.010082661290322648,0.00021872168872505426,16,2.7385546727203933
45,61,INT 8-8-2-8,98.1972,0.6159,31.96,-0.010108870967742012,0.00018178479513153434,17,2.7179872324446115
