input_length,alpha,config,conv1_bits,conv2_bits,fc1_bits,fc2_bits,hawq_rank,omega,hawq_compression_ratio,hawq_bit_complexity,hawq_source
101,101,INT 2-2-2-2,2,2,2,2,1,0.14821863174438477,4.0,478320.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L101.json
101,101,INT 4-2-2-2,4,2,2,2,2,0.02291732281446457,3.901149987766088,490440.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L101.json
101,101,INT 8-2-2-2,8,2,2,2,3,0.01747131161391735,3.717416647237118,514680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L101.json
101,101,INT 4-4-2-2,4,4,2,2,4,0.005847598426043987,3.4721254355400695,551040.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L101.json
101,101,INT 8-4-2-2,8,4,2,2,5,0.0004015873419120908,3.3258239465999164,575280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L101.json
101,101,INT 8-8-2-2,8,8,2,2,6,-0.0002523543662391603,2.7470709855272224,696480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L101.json
101,101,INT 8-8-4-2,8,8,4,2,7,-0.0003329225000925362,1.7385867984879326,1100480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L101.json
101,101,INT 8-8-8-2,8,8,8,2,8,-0.0003381365677341819,1.0025150905432596,1908480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L101.json
91,91,INT 2-2-2-2,2,2,2,2,1,0.18227364122867584,4.0,431120.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 2-2-2-4,2,2,2,4,2,0.1822705715894699,3.9852098354594196,432720.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 2-2-2-8,2,2,2,8,3,0.18227046728134155,3.955955221141494,435920.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 4-2-2-2,4,2,2,2,4,0.027328452095389366,3.9011854130847885,442040.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 4-2-2-4,4,2,2,4,5,0.027325382456183434,3.887115679379677,443640.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 4-2-2-8,4,2,2,8,6,0.027325278148055077,3.8592784889445886,446840.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-2-2-2,8,2,2,2,7,0.020749328657984734,3.7175131499525738,463880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-2-2-4,8,2,2,4,8,0.0207462590187788,3.704734897310303,465480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-2-2-8,8,2,2,8,9,0.020746154710650444,3.6794401297260393,468680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 4-4-2-2,4,4,2,2,10,0.007455556653439999,3.4722938144329896,496640.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 4-4-2-4,4,4,2,4,11,0.007452488411217928,3.4611432241490045,498240.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 4-4-2-8,4,4,2,8,12,0.007452384103089571,3.439055520102106,501440.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-4-2-2,8,4,2,2,13,0.0008764343801885843,3.3260299336522143,518480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-4-2-4,8,4,2,4,14,0.0008733658469282091,3.315797569604676,520080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-4-2-8,8,4,2,8,15,0.0008732617134228349,3.2955205626051063,523280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-8-2-2,8,8,2,2,16,0.0001007988175842911,2.74738720367066,627680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-8-2-4,8,8,2,4,17,9.773025522008538e-05,2.7404017289600815,629280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-8-2-8,8,8,2,8,18,9.762610716279596e-05,2.726536807487984,632480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-8-4-2,8,8,4,2,19,3.246123742428608e-05,1.7389480477573411,991680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-8-4-4,8,8,4,4,20,2.9392685974016786e-05,1.7361469072164948,993280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-8-4-8,8,8,4,8,21,2.928852518380154e-05,1.7305716120745023,996480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-8-8-2,8,8,8,2,22,2.7897425752598792e-05,1.0027912169705993,1719680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-8-8-4,8,8,8,4,23,2.4828874302329496e-05,1.0018590816136828,1721280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
91,91,INT 8-8-8-8,8,8,8,8,24,2.472471351211425e-05,1.0,1724480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json
81,81,INT 2-2-2-2,2,2,2,2,1,0.11236776411533356,4.0,383920.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 2-2-2-4,2,2,2,4,2,0.11218917369842529,3.983399045445113,385520.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 2-2-2-8,2,2,2,8,3,0.11218294501304626,3.95060712080675,388720.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 4-2-2-2,4,2,2,2,4,0.01286906749010086,3.901229549842496,393640.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 4-2-2-4,4,2,2,4,5,0.012690478004515171,3.8854366966906184,395240.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 4-2-2-8,4,2,2,8,6,0.012684249319136143,3.8542315028611585,398440.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-2-2-2,8,2,2,2,7,0.008753013797104359,3.7176333882056745,413080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-2-2-4,8,2,2,4,8,0.008574424311518669,3.7032892833027877,414680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-2-2-8,8,2,2,8,9,0.00856819562613964,3.6749306020867234,417880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 4-4-2-2,4,4,2,2,10,0.004707069136202335,3.4725036179450073,442240.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 4-4-2-4,4,4,2,4,11,0.004528479650616646,3.4599855803893296,443840.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 4-4-2-8,4,4,2,8,12,0.0045222509652376175,3.4352183249821047,447040.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-4-2-2,8,4,2,2,13,0.0005910152103751898,3.3262866054409983,461680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-4-2-4,8,4,2,4,14,0.00041242552106268704,3.3147988257641168,463280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-4-2-8,8,4,2,8,15,0.0004061971267219633,3.2920596810152634,466480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-8-2-2,8,8,2,2,16,0.00024906834005378187,2.747781276839393,558880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-8-2-4,8,8,2,4,17,7.047869439702481e-05,2.739937196688553,560480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-8-2-8,8,8,2,8,18,6.425029278034344e-05,2.7243826284416692,563680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-8-4-4,8,8,4,4,19,2.3424157916451804e-05,1.7362518089725036,884480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-8-4-8,8,8,4,8,20,1.719575811875984e-05,1.7299927901946648,887680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
81,81,INT 8-8-8-8,8,8,8,8,21,1.425988921255339e-05,1.0,1535680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json
71,71,INT 2-2-2-2,2,2,2,2,1,0.17355617880821228,4.0,336720.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
71,71,INT 4-2-2-2,4,2,2,2,2,0.059122469276189804,3.9012860618700036,345240.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
71,71,INT 8-2-2-2,8,2,2,2,3,0.05337964743375778,3.7177873468035774,362280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
71,71,INT 4-4-2-2,4,4,2,2,4,0.008055225946009159,3.472772277227723,387840.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
71,71,INT 8-4-2-2,8,4,2,2,5,0.0023124059662222862,3.326615293420273,404880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
71,71,INT 8-8-2-2,8,8,2,2,6,0.00027078259154222906,2.7482859941234086,490080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json
