input_length,alpha,config,conv1_bits,conv2_bits,fc1_bits,fc2_bits,hawq_rank,omega,hawq_compression_ratio,hawq_bit_complexity,hawq_source
21,21,INT 2-2-2-2,2,2,2,2,1,0.32973700761795044,4.0,100720.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 2-2-2-4,2,2,2,4,2,0.32605409622192383,3.9374511336982017,102320.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 4-2-2-2,4,2,2,2,3,0.14864523708820343,3.9023634250290584,103240.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 4-2-2-4,4,2,2,4,4,0.1449623554944992,3.8428080885158336,104840.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 4-2-2-8,4,2,2,8,5,0.14482319355010986,3.728989263235839,108040.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-2-2-2,8,2,2,2,6,0.13922807574272156,3.7207240487624675,108280.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-2-2-4,8,2,2,4,7,0.13554519414901733,3.6665453221696396,109880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-2-2-8,8,2,2,8,8,0.135406032204628,3.5627874071453838,113080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 4-4-2-2,4,4,2,2,9,0.02315939962863922,3.477900552486188,115840.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 4-4-2-4,4,4,2,4,10,0.019476521760225296,3.430517711171662,117440.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 4-4-2-8,4,4,2,8,11,0.019337359815835953,3.339522546419098,120640.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-4-2-2,8,4,2,2,12,0.013742230832576752,3.3328921244209133,120880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-4-2-4,8,4,2,4,13,0.010059352964162827,3.2893533638145005,122480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-4-2-8,8,4,2,8,14,0.009920191019773483,3.2056015276893697,125680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-8-2-2,8,8,2,2,15,0.008733035065233707,2.7579408543263964,146080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-8-2-4,8,8,2,4,16,0.005050156731158495,2.7280606717226434,147680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-8-2-8,8,8,2,8,17,0.004910995252430439,2.670201484623542,150880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-8-4-2,8,8,4,2,18,0.004106685984879732,1.7510431154381085,230080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-8-4-4,8,8,4,4,19,0.00042380779632367194,1.738950276243094,231680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-8-4-8,8,8,4,8,20,0.00028464646311476827,1.715258855585831,234880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-8-8-4,8,8,8,4,21,0.0001851756387623027,1.0080064051240993,399680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
21,21,INT 8-8-8-8,8,8,8,8,22,4.601431282935664e-05,1.0,402880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json
11,11,INT 2-2-2-2,2,2,2,2,1,2.0569911003112793,4.0,53520.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 4-2-2-2,4,2,2,2,2,0.6776021718978882,3.903719912472648,54840.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 4-2-2-4,4,2,2,4,3,0.6388120651245117,3.793054571226081,56440.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-2-2-2,8,2,2,2,4,0.6239209175109863,3.7244258872651357,57480.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-2-2-4,8,2,2,4,5,0.5851308107376099,3.6235612728503725,59080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 4-4-2-2,4,4,2,2,6,0.1755843162536621,3.484375,61440.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 4-4-2-4,4,4,2,4,7,0.13679423928260803,3.3959390862944163,63040.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-4-2-2,8,4,2,2,8,0.12190304696559906,3.3408239700374533,64080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-4-2-4,8,4,2,4,9,0.08311296254396439,3.2594397076735686,65680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-4-2-8,8,4,2,8,10,0.08163370937108994,3.1080139372822297,68880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-8-2-4,8,8,2,4,11,0.06493576616048813,2.713995943204868,78880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-8-2-8,8,8,2,8,12,0.06345651298761368,2.608187134502924,82080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-4-4-2,8,4,4,2,13,0.06173184886574745,1.9807549962990378,108080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-4-4-4,8,4,4,4,14,0.022941768169403076,1.951859956236324,109680.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-4-4-8,8,4,4,8,15,0.021462513133883476,1.8965272856130404,112880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-8-4-4,8,8,4,4,16,0.004764572251588106,1.7421875,122880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-8-4-8,8,8,4,8,17,0.0032853172160685062,1.6979695431472082,126080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-8-8-4,8,8,8,4,18,0.0017812104197219014,1.015174506828528,210880.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
11,11,INT 8-8-8-8,8,8,8,8,19,0.00030195567524060607,1.0,214080.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json
5,5,INT 2-2-2-2,2,2,2,2,1,7.429015159606934,4.0,25200.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 4-2-2-2,4,2,2,2,2,2.893503427505493,3.9069767441860463,25800.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-2-2-2,8,2,2,2,3,2.6748721599578857,3.7333333333333334,27000.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 8-2-2-4,8,2,2,4,4,2.610468626022339,3.5244755244755246,28600.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
5,5,INT 4-4-2-2,4,4,2,2,5,0.8310993909835815,3.5,28800.0,/shared/b00090279/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json
