tag,alpha,input_length,seed,checkpoint,result_path,policy_path,selection,compression_ratio_target,compression_ratio_selected,metric,bit_complexity,pareto_frontier_size,layer_bits_json,activation_bits_json,trace_order_low_to_high_json,notes
L101,101,101,,/Users/hamza/Desktop/testMax/ai8x-training/hawq_float_runs/indoor_float_L101_seed_42___2026.05.16-051502/indoor_float_L101_seed_42_best.pth.tar,/Users/hamza/Documents/GitHub/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L101.json,,pareto,,,,,8,{},{},"[""fc2"", ""fc1"", ""conv2"", ""conv1""]",
L91,91,91,,/Users/hamza/Desktop/testMax/ai8x-training/hawq_float_runs/indoor_float_L91_seed_42___2026.05.16-060252/indoor_float_L91_seed_42_best.pth.tar,/Users/hamza/Documents/GitHub/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L91.json,,pareto,,,,,24,{},{},"[""fc2"", ""fc1"", ""conv2"", ""conv1""]",
L81,81,81,,/Users/hamza/Desktop/testMax/ai8x-training/hawq_float_runs/indoor_float_L81_seed_42___2026.05.16-222356/indoor_float_L81_seed_42_best.pth.tar,/Users/hamza/Documents/GitHub/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L81.json,,pareto,,,,,21,{},{},"[""fc1"", ""fc2"", ""conv2"", ""conv1""]",
L71,71,71,,/Users/hamza/Desktop/testMax/ai8x-training/hawq_float_runs/indoor_float_L71_seed_42___2026.05.16-223013/indoor_float_L71_seed_42_best.pth.tar,/Users/hamza/Documents/GitHub/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L71.json,,pareto,,,,,8,{},{},"[""fc2"", ""fc1"", ""conv2"", ""conv1""]",
L61,61,61,,/Users/hamza/Desktop/testMax/ai8x-training/hawq_float_runs/indoor_float_L61_seed_42___2026.05.16-223836/indoor_float_L61_seed_42_best.pth.tar,/Users/hamza/Documents/GitHub/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L61.json,,pareto,,,,,20,{},{},"[""fc1"", ""fc2"", ""conv2"", ""conv1""]",
L51,51,51,,/Users/hamza/Desktop/testMax/ai8x-training/hawq_float_runs/indoor_float_L51_seed_42___2026.05.16-224648/indoor_float_L51_seed_42_best.pth.tar,/Users/hamza/Documents/GitHub/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L51.json,,pareto,,,,,8,{},{},"[""fc2"", ""fc1"", ""conv2"", ""conv1""]",
L41,41,41,,/Users/hamza/Desktop/testMax/ai8x-training/hawq_float_runs/indoor_float_L41_seed_42___2026.05.16-225316/indoor_float_L41_seed_42_best.pth.tar,/Users/hamza/Documents/GitHub/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L41.json,,pareto,,,,,20,{},{},"[""fc1"", ""fc2"", ""conv2"", ""conv1""]",
L31,31,31,,/Users/hamza/Desktop/testMax/ai8x-training/hawq_float_runs/indoor_float_L31_seed_42___2026.05.16-230144/indoor_float_L31_seed_42_best.pth.tar,/Users/hamza/Documents/GitHub/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L31.json,,pareto,,,,,21,{},{},"[""fc1"", ""fc2"", ""conv2"", ""conv1""]",
L21,21,21,,/Users/hamza/Desktop/testMax/ai8x-training/hawq_float_runs/indoor_float_L21_seed_42___2026.05.16-230839/indoor_float_L21_seed_42_best.pth.tar,/Users/hamza/Documents/GitHub/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L21.json,,pareto,,,,,22,{},{},"[""fc1"", ""fc2"", ""conv2"", ""conv1""]",
L11,11,11,,/Users/hamza/Desktop/testMax/ai8x-training/hawq_float_runs/indoor_float_L11_seed_42___2026.05.16-231535/indoor_float_L11_seed_42_best.pth.tar,/Users/hamza/Documents/GitHub/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L11.json,,pareto,,,,,19,{},{},"[""fc1"", ""fc2"", ""conv2"", ""conv1""]",
L5,5,5,,/Users/hamza/Desktop/testMax/ai8x-training/hawq_float_runs/indoor_float_L5_seed_42___2026.05.16-232128/indoor_float_L5_seed_42_best.pth.tar,/Users/hamza/Documents/GitHub/Indoor-Environment-Quantization/hawqv2/hawqv2_runs/indoor_alpha_sweep_pareto_seed42/results/L5.json,,pareto,,,,,20,{},{},"[""fc2"", ""fc1"", ""conv2"", ""conv1""]",
