input_length,config,conv1_bits,conv2_bits,fc1_bits,fc2_bits,seed,label_detected,test_accuracy,train_seconds,status
101,INT 8-8-8-8,8,8,8,8,42,INT8,98.832,87.69751358032227,success
101,INT 8-8-8-8,8,8,8,8,43,INT8,99.251,88.22215485572815,success
101,INT 8-8-8-8,8,8,8,8,44,INT8,99.347,88.4560956954956,success
101,INT 8-8-8-8,8,8,8,8,45,INT8,99.474,88.12150120735168,success
101,INT 8-8-8-8,8,8,8,8,46,INT8,99.121,87.51615977287292,success
101,INT 8-8-8-4,8,8,8,4,42,mixed,98.907,88.03263878822327,success
101,INT 8-8-8-4,8,8,8,4,43,mixed,99.244,88.22254037857056,success
101,INT 8-8-8-4,8,8,8,4,44,mixed,99.366,88.00602722167969,success
101,INT 8-8-8-4,8,8,8,4,45,mixed,99.501,88.20304441452026,success
101,INT 8-8-8-4,8,8,8,4,46,mixed,99.133,87.63748550415039,success
101,INT 8-8-8-2,8,8,8,2,42,mixed,98.857,89.22658705711365,success
101,INT 8-8-8-2,8,8,8,2,43,mixed,99.25,90.179034948349,success
101,INT 8-8-8-2,8,8,8,2,44,mixed,99.381,88.29531192779541,success
101,INT 8-8-8-2,8,8,8,2,45,mixed,99.473,87.50347542762756,success
101,INT 8-8-8-2,8,8,8,2,46,mixed,99.054,88.10986804962158,success
101,INT 8-8-4-8,8,8,4,8,42,mixed,98.852,88.14466547966003,success
101,INT 8-8-4-8,8,8,4,8,43,mixed,99.253,88.01747012138367,success
101,INT 8-8-4-8,8,8,4,8,44,mixed,99.352,88.29852414131165,success
101,INT 8-8-4-8,8,8,4,8,45,mixed,99.474,87.73192954063416,success
101,INT 8-8-4-8,8,8,4,8,46,mixed,99.117,88.19534921646118,success
101,INT 8-8-4-4,8,8,4,4,42,mixed,98.764,88.41642332077026,success
101,INT 8-8-4-4,8,8,4,4,43,mixed,99.247,87.71504139900208,success
101,INT 8-8-4-4,8,8,4,4,44,mixed,99.349,88.60182547569275,success
101,INT 8-8-4-4,8,8,4,4,45,mixed,99.461,88.29627060890198,success
101,INT 8-8-4-4,8,8,4,4,46,mixed,99.111,87.92092514038086,success
101,INT 8-8-4-2,8,8,4,2,42,mixed,98.916,88.08973288536072,success
101,INT 8-8-4-2,8,8,4,2,43,mixed,99.207,88.28386664390564,success
101,INT 8-8-4-2,8,8,4,2,44,mixed,99.369,87.4339530467987,success
101,INT 8-8-4-2,8,8,4,2,45,mixed,99.481,88.11954808235168,success
101,INT 8-8-4-2,8,8,4,2,46,mixed,99.057,88.56733965873718,success
101,INT 8-8-2-8,8,8,2,8,42,mixed,98.829,87.87272882461548,success
101,INT 8-8-2-8,8,8,2,8,43,mixed,99.196,88.05036354064941,success
101,INT 8-8-2-8,8,8,2,8,44,mixed,99.341,88.00890517234802,success
101,INT 8-8-2-8,8,8,2,8,45,mixed,99.456,88.10083818435669,success
101,INT 8-8-2-8,8,8,2,8,46,mixed,99.128,88.08749985694885,success
101,INT 8-8-2-4,8,8,2,4,42,mixed,98.914,87.82904648780823,success
101,INT 8-8-2-4,8,8,2,4,43,mixed,99.21,88.23056674003601,success
101,INT 8-8-2-4,8,8,2,4,44,mixed,99.348,87.48364734649658,success
101,INT 8-8-2-4,8,8,2,4,45,mixed,99.474,88.26429486274719,success
101,INT 8-8-2-4,8,8,2,4,46,mixed,99.134,88.04057002067566,success
101,INT 8-8-2-2,8,8,2,2,42,mixed,98.802,87.78711533546448,success
101,INT 8-8-2-2,8,8,2,2,43,mixed,99.183,87.92006492614746,success
101,INT 8-8-2-2,8,8,2,2,44,mixed,99.374,88.16629600524902,success
101,INT 8-8-2-2,8,8,2,2,45,mixed,99.42,87.96033811569214,success
101,INT 8-8-2-2,8,8,2,2,46,mixed,99.086,87.81677389144897,success
101,INT 8-4-8-8,8,4,8,8,42,mixed,98.898,88.02604413032532,success
101,INT 8-4-8-8,8,4,8,8,43,mixed,99.126,88.1183488368988,success
101,INT 8-4-8-8,8,4,8,8,44,mixed,99.34,88.12370276451111,success
101,INT 8-4-8-8,8,4,8,8,45,mixed,99.46,88.0178964138031,success
101,INT 8-4-8-8,8,4,8,8,46,mixed,99.119,87.97793388366699,success
101,INT 8-4-8-4,8,4,8,4,42,mixed,98.814,88.45908546447754,success
101,INT 8-4-8-4,8,4,8,4,43,mixed,99.196,87.45703649520874,success
101,INT 8-4-8-4,8,4,8,4,44,mixed,99.358,88.01554775238037,success
101,INT 8-4-8-4,8,4,8,4,45,mixed,99.446,88.47402215003967,success
101,INT 8-4-8-4,8,4,8,4,46,mixed,99.131,87.57693862915039,success
101,INT 8-4-8-2,8,4,8,2,42,mixed,98.939,88.64323139190674,success
