input_length,config,runs,mean_acc,std_acc
91,INT 8-8-4-4,5,99.2316,0.24928858778532426
101,INT 8-8-8-4,5,99.2302,0.22686493779339093
91,INT 8-8-4-8,5,99.22619999999999,0.22488374774535905
91,INT 8-8-8-4,5,99.22380000000001,0.23753147159902818
91,INT 8-8-2-8,5,99.2228,0.2172065836939617
91,INT 8-8-8-8,5,99.2194,0.23070283916762688
101,INT 8-8-2-4,5,99.216,0.21327915978829504
91,INT 8-8-2-4,5,99.2158,0.22202184577198225
91,INT 8-4-4-4,5,99.2138,0.21134261283518485
101,INT 8-8-4-8,5,99.2096,0.23901945527508275
91,INT 8-8-8-2,5,99.2072,0.22174918263660184
91,INT 8-8-2-2,5,99.2068,0.21747114751156849
101,INT 8-8-4-2,5,99.20599999999999,0.2283068111117118
101,INT 8-8-8-8,5,99.205,0.24537012858129573
101,INT 8-8-8-2,5,99.203,0.2493541657963625
91,INT 8-4-8-4,5,99.20259999999999,0.2132997890294353
91,INT 8-8-4-2,5,99.20219999999999,0.21530838348750528
91,INT 8-4-8-8,5,99.1908,0.19572608410735748
91,INT 8-4-4-8,5,99.19059999999999,0.19254428062137208
101,INT 8-8-2-8,5,99.19,0.23861999078032833
101,INT 8-4-2-4,5,99.1898,0.21865543670350282
101,INT 8-4-8-4,5,99.189,0.24425806025595645
91,INT 8-4-2-2,5,99.1886,0.22942602293550632
101,INT 8-4-8-8,5,99.1886,0.21782515924474632
91,INT 8-4-2-4,5,99.1884,0.2243486126544949
101,INT 8-4-4-4,5,99.187,0.21412963363346554
101,INT 8-8-4-4,5,99.1864,0.26908325849075
101,INT 8-4-4-8,5,99.18440000000001,0.2508451713707134
101,INT 8-4-2-8,5,99.176,0.2499239884444915
91,INT 8-4-4-2,5,99.173,0.2612718890351541
101,INT 8-8-2-2,5,99.173,0.24835458522040227
101,INT 8-4-8-2,5,99.1606,0.21581195518321566
91,INT 8-4-2-8,5,99.1482,0.177928918391579
101,INT 8-4-2-2,5,99.136,0.23342236396712263
91,INT 8-4-8-2,5,99.0876,0.22203333083120755
101,INT 8-4-4-2,5,99.07919999999999,0.3488534076084035
101,INT 8-2-4-4,5,99.02000000000001,0.4820409733622247
101,INT 8-2-4-8,5,99.0066,0.5482871510440478
101,INT 8-2-4-2,5,98.9816,0.49031704029127793
101,INT 8-2-2-4,5,98.97619999999999,0.3709173762443637
101,INT 8-2-2-8,5,98.96759999999999,0.40541003934288133
101,INT 8-2-8-2,5,98.96579999999999,0.47170138859239624
101,INT 8-2-8-4,5,98.9476,0.4290935795371445
101,INT 8-2-2-2,5,98.9418,0.4363727764194267
101,INT 8-2-8-8,5,98.8866,0.3821299517179955
101,INT 4-8-2-2,5,98.856,0.31927495987001936
101,INT 4-4-2-2,5,98.85159999999999,0.34696728952453265
101,INT 4-4-4-2,5,98.8454,0.31416285585663817
91,INT 8-2-2-8,5,98.8408,0.28913699175305
101,INT 4-4-4-4,5,98.8376,0.2555157529390287
91,INT 8-2-4-8,5,98.83279999999999,0.336671501615448
91,INT 8-2-2-4,5,98.8296,0.2847091498354077
91,INT 8-2-8-8,5,98.8238,0.22304752856734286
101,INT 4-8-2-8,5,98.81899999999999,0.34934009217380213
101,INT 4-8-2-4,5,98.8172,0.34688931952424984
101,INT 4-4-8-2,5,98.8172,0.3259550582518976
101,INT 4-4-8-4,5,98.8126,0.27160228275917847
101,INT 4-8-8-4,5,98.79499999999999,0.27191083097221785
91,INT 8-2-8-2,5,98.7948,0.29047753785791486
101,INT 4-4-2-4,5,98.789,0.35522035414655145
101,INT 4-8-4-8,5,98.78720000000001,0.2789582406024238
101,INT 4-8-8-2,5,98.7862,0.285981992440081
101,INT 4-8-8-8,5,98.7858,0.2745572799981821
91,INT 8-2-8-4,5,98.7858,0.2915942386262148
91,INT 8-2-4-4,5,98.7826,0.21153675803509844
101,INT 4-8-4-4,5,98.78099999999999,0.2702249063280474
101,INT 4-4-2-8,5,98.78,0.34883377130088683
101,INT 4-8-4-2,5,98.76079999999999,0.23259879621356722
101,INT 4-4-4-8,5,98.7388,0.3327389367056393
101,INT 4-4-8-8,5,98.7376,0.3299360544105493
91,INT 8-2-4-2,5,98.72540000000001,0.24252999814455642
71,INT 8-8-2-8,5,98.695,0.4952867856101117
71,INT 8-8-4-8,5,98.6884,0.5094897447446831
81,INT 8-8-2-8,5,98.6832,0.31131848644113425
81,INT 8-4-4-4,5,98.6744,0.36342922282062334
81,INT 8-8-8-8,5,98.6734,0.3193294536994666
81,INT 8-8-8-4,5,98.6728,0.33354564904971834
81,INT 8-8-2-2,5,98.672,0.32854527846249876
81,INT 8-8-4-8,5,98.6692,0.34478790582037366
81,INT 8-8-8-2,5,98.6664,0.32823055921105254
81,INT 8-8-4-4,5,98.6624,0.33416133827838373
81,INT 8-4-8-8,5,98.6606,0.3084984602878897
81,INT 8-8-2-4,5,98.66040000000001,0.3080548652431912
91,INT 8-2-2-2,5,98.6602,0.4453270708142506
71,INT 8-8-2-2,5,98.659,0.4802072469257406
81,INT 8-4-2-2,5,98.6582,0.3713518547146339
71,INT 8-8-8-4,5,98.6542,0.4827843203750514
71,INT 8-8-4-4,5,98.6528,0.48352735186336365
71,INT 8-8-2-4,5,98.6514,0.4830199788828577
81,INT 8-4-2-4,5,98.6494,0.35055427539825745
81,INT 8-8-4-2,5,98.649,0.32185322741895855
71,INT 8-8-8-8,5,98.6424,0.531723894516692
81,INT 8-4-4-2,5,98.6412,0.37665328884797983
81,INT 8-4-8-2,5,98.639,0.3116159495276202
81,INT 8-4-8-4,5,98.63419999999999,0.3179059609381359
71,INT 8-8-4-2,5,98.6316,0.4823362934716796
71,INT 8-4-8-4,5,98.62519999999999,0.5125867731418736
81,INT 8-4-4-8,5,98.624,0.28308655920053727
71,INT 8-8-8-2,5,98.62280000000001,0.4730081394648508
81,INT 8-4-2-8,5,98.6194,0.3557707126788273
101,INT 4-2-4-8,5,98.6146,0.4740984075062918
101,INT 4-2-4-4,5,98.6084,0.509976764176565
91,INT 4-8-4-8,5,98.6036,0.3899305066290652
71,INT 8-4-2-2,5,98.6036,0.5091049007817526
101,INT 4-2-8-8,5,98.5906,0.4962195078793221
101,INT 4-2-2-8,5,98.5808,0.43653144216654055
71,INT 8-4-2-8,5,98.5638,0.4948946352507781
101,INT 4-2-2-2,5,98.558,0.5037742549992021
101,INT 4-2-4-2,5,98.553,0.5471302404364105
81,INT 4-8-2-4,5,98.5352,0.20161646758139556
81,INT 4-8-4-8,5,98.5328,0.1990143210927245
81,INT 4-4-8-8,5,98.529,0.2663662891583645
81,INT 4-8-2-2,5,98.52860000000001,0.16157289376625336
81,INT 4-8-8-8,5,98.5284,0.21460149114113541
81,INT 4-8-4-4,5,98.5274,0.2044438798301356
101,INT 4-2-2-4,5,98.5256,0.3606928055839188
