input_length,size_MiB_total,size_MB_total,size_KiB_total,size_KB_total,config,runs,mean_acc,std_acc
101,0.194035,0.20346,198.691,203.46,INT 8-8-8-8,5,99.205,0.2454
101,0.193653,0.20306,198.301,203.06,INT 8-8-8-4,5,99.2302,0.2269
101,0.193462,0.20286,198.105,202.86,INT 8-8-8-2,5,99.203,0.2494
101,0.097713,0.10246,100.059,102.46,INT 8-8-4-8,5,99.2096,0.239
101,0.097332,0.10206,99.668,102.06,INT 8-8-4-4,5,99.1864,0.2691
101,0.097141,0.10186,99.473,101.86,INT 8-8-4-2,5,99.206,0.2283
101,0.049553,0.05196,50.742,51.96,INT 8-8-2-8,5,99.19,0.2386
101,0.049171,0.05156,50.352,51.56,INT 8-8-2-4,5,99.216,0.2133
101,0.048981,0.05136,50.156,51.36,INT 8-8-2-2,5,99.173,0.2484
101,0.193892,0.20331,198.545,203.31,INT 8-4-8-8,5,99.1886,0.2178
101,0.19351,0.20291,198.154,202.91,INT 8-4-8-4,5,99.189,0.2443
101,0.193319,0.20271,197.959,202.71,INT 8-4-8-2,5,99.1606,0.2158
101,0.09757,0.10231,99.912,102.31,INT 8-4-4-8,5,99.1844,0.2508
101,0.097189,0.10191,99.521,101.91,INT 8-4-4-4,5,99.187,0.2141
101,0.096998,0.10171,99.326,101.71,INT 8-4-4-2,5,99.0792,0.3489
101,0.04941,0.05181,50.596,51.81,INT 8-4-2-8,5,99.176,0.2499
101,0.049028,0.05141,50.205,51.41,INT 8-4-2-4,5,99.1898,0.2187
101,0.048838,0.05121,50.01,51.21,INT 8-4-2-2,5,99.136,0.2334
101,0.19382,0.203235,198.472,203.235,INT 8-2-8-8,5,98.8866,0.3821
101,0.193439,0.202835,198.081,202.835,INT 8-2-8-4,5,98.9476,0.4291
101,0.193248,0.202635,197.886,202.635,INT 8-2-8-2,5,98.9658,0.4717
101,0.097499,0.102235,99.839,102.235,INT 8-2-4-8,5,99.0066,0.5483
101,0.097117,0.101835,99.448,101.835,INT 8-2-4-4,5,99.02,0.482
101,0.096927,0.101635,99.253,101.635,INT 8-2-4-2,5,98.9816,0.4903
101,0.049338,0.051735,50.522,51.735,INT 8-2-2-8,5,98.9676,0.4054
101,0.048957,0.051335,50.132,51.335,INT 8-2-2-4,5,98.9762,0.3709
101,0.048766,0.051135,49.937,51.135,INT 8-2-2-2,5,98.9418,0.4364
101,0.194006,0.20343,198.662,203.43,INT 4-8-8-8,5,98.7858,0.2746
101,0.193624,0.20303,198.271,203.03,INT 4-8-8-4,5,98.795,0.2719
101,0.193434,0.20283,198.076,202.83,INT 4-8-8-2,5,98.7862,0.286
